Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Noroeste,Papa,kg,2017-08-01,11.21,76
Noroeste,Huevos de gallina,Docena,2017-08-01,30.47,46
Noroeste,Leche fresca entera sachet,Litro,2017-08-01,22.58,64
Noroeste,Pollo entero,kg,2017-08-01,37.48,82
Noroeste,Carne picada común,kg,2017-08-01,82.43,22
Noroeste,Fideos secos tipo guisero,500 g,2017-08-01,13.78,34
Noroeste,Arroz blanco simple,kg,2017-08-01,19.16,10
Cuyo,Pollo entero,kg,2017-08-01,36.91,79
Noroeste,Azúcar,kg,2017-08-01,16.54,16
Cuyo,Leche fresca entera sachet,Litro,2017-08-01,24.04,61
Patagonia,Fideos secos tipo guisero,500 g,2017-08-01,21.32,36
Cuyo,Papa,kg,2017-08-01,12.98,73
Patagonia,Jabón de tocador,125 g,2017-08-01,15.6,54
Patagonia,Lavandina,1.000 cc,2017-08-01,16.57,60
Patagonia,Detergente líquido,750 cc,2017-08-01,35.98,30
Patagonia,Azúcar,kg,2017-08-01,21.52,18
Patagonia,Papa,kg,2017-08-01,19.55,78
Patagonia,Huevos de gallina,Docena,2017-08-01,44.34,48
Patagonia,Leche fresca entera sachet,Litro,2017-08-01,24.53,66
Patagonia,Aceite de girasol,"1,5 litros",2017-08-01,51.17,6
Cuyo,Huevos de gallina,Docena,2017-08-01,35.29,43
Patagonia,Pollo entero,kg,2017-08-01,43.33,84
Noroeste,Harina de trigo común,kg,2017-08-01,10.59,40
Patagonia,Arroz blanco simple,kg,2017-08-01,26.49,12
Patagonia,Harina de trigo común,kg,2017-08-01,11.75,42
Patagonia,Pan francés,kg,2017-08-01,38.84,72
Cuyo,Jabón de tocador,125 g,2017-08-01,14.78,49
Cuyo,Lavandina,1.000 cc,2017-08-01,14.59,55
Cuyo,Detergente líquido,750 cc,2017-08-01,22.15,25
Cuyo,Azúcar,kg,2017-08-01,18.29,13
Patagonia,Carne picada común,kg,2017-08-01,92.76,24
Noroeste,Pan francés,kg,2017-08-01,33.25,70
Cuyo,Aceite de girasol,"1,5 litros",2017-08-01,49.39,1
Noreste,Lavandina,1.000 cc,2017-08-01,15.81,57
Pampeana,Carne picada común,kg,2017-08-01,77.0,23
Pampeana,Fideos secos tipo guisero,500 g,2017-08-01,17.79,35
Pampeana,Arroz blanco simple,kg,2017-08-01,21.76,11
Pampeana,Harina de trigo común,kg,2017-08-01,11.19,41
Pampeana,Pan francés,kg,2017-08-01,32.32,71
GBA,Jabón de tocador,125 g,2017-08-01,14.24,50
GBA,Lavandina,1.000 cc,2017-08-01,15.64,56
GBA,Detergente líquido,750 cc,2017-08-01,20.1,26
Pampeana,Pollo entero,kg,2017-08-01,38.37,83
GBA,Azúcar,kg,2017-08-01,19.58,14
GBA,Huevos de gallina,Docena,2017-08-01,33.63,44
GBA,Leche fresca entera sachet,Litro,2017-08-01,21.72,62
GBA,Aceite de girasol,"1,5 litros",2017-08-01,52.35,2
GBA,Pollo entero,kg,2017-08-01,36.21,80
GBA,Carne picada común,kg,2017-08-01,73.4,20
GBA,Fideos secos tipo guisero,500 g,2017-08-01,19.73,32
GBA,Arroz blanco simple,kg,2017-08-01,21.25,8
GBA,Harina de trigo común,kg,2017-08-01,10.65,38
GBA,Papa,kg,2017-08-01,14.35,74
Pampeana,Aceite de girasol,"1,5 litros",2017-08-01,54.91,5
GBA,Pan francés,kg,2017-08-01,39.43,68
Pampeana,Leche fresca entera sachet,Litro,2017-08-01,23.58,65
Noreste,Jabón de tocador,125 g,2017-08-01,14.49,51
Noreste,Detergente líquido,750 cc,2017-08-01,20.67,27
Noreste,Azúcar,kg,2017-08-01,18.01,15
Noreste,Papa,kg,2017-08-01,13.23,75
Noreste,Huevos de gallina,Docena,2017-08-01,29.27,45
Noreste,Leche fresca entera sachet,Litro,2017-08-01,23.25,63
Noreste,Pollo entero,kg,2017-08-01,37.29,81
Noreste,Carne picada común,kg,2017-08-01,72.24,21
Noreste,Fideos secos tipo guisero,500 g,2017-08-01,14.57,33
Noreste,Aceite de girasol,"1,5 litros",2017-08-01,53.34,3
Noreste,Harina de trigo común,kg,2017-08-01,10.94,39
Noreste,Pan francés,kg,2017-08-01,29.07,69
Pampeana,Huevos de gallina,Docena,2017-08-01,33.4,47
Pampeana,Jabón de tocador,125 g,2017-08-01,14.68,53
Pampeana,Lavandina,1.000 cc,2017-08-01,14.84,59
Pampeana,Detergente líquido,750 cc,2017-08-01,22.47,29
Pampeana,Azúcar,kg,2017-08-01,19.21,17
Pampeana,Papa,kg,2017-08-01,14.26,77
Noreste,Arroz blanco simple,kg,2017-08-01,20.37,9
Noroeste,Jabón de tocador,125 g,2017-09-01,15.24,52
Cuyo,Pan francés,kg,2017-09-01,28.99,67
Cuyo,Carne picada común,kg,2017-09-01,74.82,19
Cuyo,Arroz blanco simple,kg,2017-09-01,19.13,7
Cuyo,Fideos secos tipo guisero,500 g,2017-09-01,18.81,31
Noroeste,Lavandina,1.000 cc,2017-09-01,15.43,58
Cuyo,Harina de trigo común,kg,2017-09-01,10.49,37
Noroeste,Detergente líquido,750 cc,2017-09-01,23.91,28
Noroeste,Arroz blanco simple,kg,2017-09-01,19.41,10
Noroeste,Papa,kg,2017-09-01,11.47,76
Noroeste,Huevos de gallina,Docena,2017-09-01,30.54,46
Noroeste,Leche fresca entera sachet,Litro,2017-09-01,22.89,64
Noroeste,Aceite de girasol,"1,5 litros",2017-09-01,53.8,4
Noroeste,Pollo entero,kg,2017-09-01,39.69,82
Noroeste,Carne picada común,kg,2017-09-01,84.05,22
Noroeste,Fideos secos tipo guisero,500 g,2017-09-01,13.89,34
Cuyo,Pollo entero,kg,2017-09-01,39.39,79
Noroeste,Azúcar,kg,2017-09-01,16.64,16
Cuyo,Aceite de girasol,"1,5 litros",2017-09-01,51.16,1
Patagonia,Arroz blanco simple,kg,2017-09-01,26.52,12
Cuyo,Huevos de gallina,Docena,2017-09-01,35.95,43
Noroeste,Harina de trigo común,kg,2017-09-01,10.7,40
Patagonia,Lavandina,1.000 cc,2017-09-01,17.14,60
Patagonia,Detergente líquido,750 cc,2017-09-01,34.89,30
Patagonia,Azúcar,kg,2017-09-01,21.72,18
Patagonia,Papa,kg,2017-09-01,19.71,78
Patagonia,Huevos de gallina,Docena,2017-09-01,43.75,48
Patagonia,Leche fresca entera sachet,Litro,2017-09-01,25.08,66
Patagonia,Aceite de girasol,"1,5 litros",2017-09-01,51.64,6
